controller,scenario,metric,higher_is_better,value,value_std,n,run_id
FLC,steady_state_efficiency_probe,itae_abs_err,False,57.354813490869226,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,jerk_l2,False,3.5578245289440225,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,log_decrement,False,,,0,multi_seed
FLC,steady_state_efficiency_probe,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,max_freq_deviation_hz,False,1.0438995361328125,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,max_rocof_hz_s,False,7.744026184082024,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,overshoot_pct,False,1.9876298034497992,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,reversal_count,False,0.0,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,rmse_error,False,626.8418259748704,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,safety_margin_min,True,-0.0438995361328125,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,saturation_events,False,0.0,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,settling_time_s,False,,,0,multi_seed
FLC,steady_state_efficiency_probe,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,stability_flag,True,1.0,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,time_out_of_band_s,False,0.02,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,total_time_unsafe_s,False,0.02,0.0,3,multi_seed
FLC,steady_state_efficiency_probe,worst_tail_abs_err,False,1305.497610710838,0.0,3,multi_seed
FLC,sudden_load_increase_5pct,abs_err_p50,False,321.1324150181945,0.0,3,multi_seed
FLC,sudden_load_increase_5pct,abs_err_p90,False,1103.6638607993702,0.0,3,multi_seed
FLC,sudden_load_increase_5pct,abs_err_p95,False,1206.1786341205566,0.0,3,multi_seed
FLC,sudden_load_increase_5pct,arrhenius_exposure,False,4.643285087011578e-14,0.0,3,multi_seed
FLC,sudden_load_increase_5pct,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,sudden_load_increase_5pct,coherence_lowmid,True,,,0,multi_seed
FLC,sudden_load_increase_5pct,cvar_abs_err,False,1305.497610710838,0.0,3,multi_seed
FLC,sudden_load_increase_5pct,effort_l1,False,0.1868233002789005,0.0,3,multi_seed
FLC,sudden_load_increase_5pct,effort_l2,False,0.1292327032817001,0.0,3,multi_seed
