controller,scenario,pc1,pc2,action,abs_action
FLC,gradual_load_increase_10pct,1.5366113989733294,-1.991471893267087,0.9269577555828754,0.9269577555828754
FLC,gradual_load_increase_10pct,1.2785154128632081,-2.1094410566929547,0.8269810699694725,0.8269810699694725
FLC,gradual_load_increase_10pct,0.9884870890890901,-2.2198405126439713,0.7269810699694725,0.7269810699694725
FLC,gradual_load_increase_10pct,0.6866982668732726,-2.289627425425141,0.6601024512120192,0.6601024512120192
FLC,gradual_load_increase_10pct,0.35693432020284566,-2.3485613179739686,0.5945730936900996,0.5945730936900996
FLC,gradual_load_increase_10pct,-0.007586514525108008,-2.4078171980369487,0.5181056517446362,0.5181056517446362
FLC,gradual_load_increase_10pct,-0.41328960006125615,-2.4788698814594508,0.4181056517446362,0.4181056517446362
FLC,gradual_load_increase_10pct,-0.8473907069415545,-2.5384384627418637,0.3181056517446362,0.3181056517446362
FLC,gradual_load_increase_10pct,-1.3079423524466172,-2.5858327990135277,0.2181056517446362,0.2181056517446362
FLC,gradual_load_increase_10pct,-1.7963812574129168,-2.62067935588538,0.1181056517446362,0.1181056517446362
FLC,gradual_load_increase_10pct,-2.308736958277956,-2.6422855125708176,0.0181056517446362,0.0181056517446362
FLC,gradual_load_increase_10pct,-2.8000516738617334,-2.57143585021777,0.0,0.0
FLC,gradual_load_increase_10pct,-3.2946945540302544,-2.4689465303674867,0.0,0.0
FLC,gradual_load_increase_10pct,-3.8164704158380474,-2.3535580437244135,0.0,0.0
FLC,gradual_load_increase_10pct,-4.332864430864873,-2.22338328708301,0.0,0.0
FLC,gradual_load_increase_10pct,-4.90191685742897,-2.083127512579827,0.0,0.0
FLC,gradual_load_increase_10pct,-5.398707998844174,-1.924435349557004,2.7631386539269872e-18,2.7631386539269872e-18
FLC,gradual_load_increase_10pct,-6.087065627874632,-1.7669343244878974,5.5262773078539744e-18,5.5262773078539744e-18
FLC,multisine_frequency_probe,1.4558153526380069,0.1685205881534633,0.8,0.8
FLC,multisine_frequency_probe,1.6581849730443998,0.1812165298998317,0.8,0.8
FLC,multisine_frequency_probe,1.7754110505318395,0.18592783980893426,0.8,0.8
FLC,multisine_frequency_probe,1.8193139499081834,0.18670620661674134,0.8,0.8
FLC,multisine_frequency_probe,1.8028165449619455,0.18694552434083728,0.8,0.8
FLC,multisine_frequency_probe,1.7348406722653567,0.18913109793766109,0.8,0.8
FLC,multisine_frequency_probe,1.6187147995147326,0.1897944478427377,0.7944603612738075,0.7944603612738075
FLC,multisine_frequency_probe,1.4636031859044674,0.19711804918308076,0.7903503718478364,0.7903503718478364
